# EXTRACTION TIME: 0.519
* 0.003 1480
* 0.008 1451
* 0.013 1446
* 0.029 1442
* 0.043 1415
* 0.081 1412
* 0.098 1399
* 0.253 1391
* 0.309 1390
* 0.53 1389
* 0.62 1388
* 0.727 1384
* 0.731 1381
* 0.784 1379
* 0.831 1377
* 1.75 1372
* 1.95 1370
* 8.858 1368
* 8.976 1366
* 9.94 1364
* 11.025 1363
* 11.071 1360
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1360
# NUMBER OF BRANCHES: 431564
# END TIME: 30.528
## Solution: 
40
0 0
37 355
13 371
10 383
15 419
26 447
11 480
3 516
4 545
38 573
18 598
29 617
2 641
12 659
35 678
22 697
20 720
31 760
40 791
21 810
9 831
7 851
1 870
24 889
32 918
19 936
8 957
5 981
27 1015
33 1040
36 1059
28 1097
30 1121
23 1147
34 1165
39 1185
16 1213
25 1226
17 1237
14 1250
6 1269
# BEST TD SOLUTION: 1360
