# EXTRACTION TIME: 0.482
* 0.002 1349
* 0.008 1334
* 0.02 1321
* 0.042 1316
* 0.135 1311
* 0.361 1302
* 0.386 1297
* 0.411 1293
* 0.415 1291
* 0.552 1284
* 0.638 1281
* 8.608 1279
* 22.812 1274
* 22.876 1271
* 23.023 1256
* 23.373 1255
* 26.873 1254
* 27.493 1253
* 29.145 1252
* 29.599 1251
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1251
# NUMBER OF BRANCHES: 473414
# END TIME: 30.491
## Solution: 
40
0 0
21 275
39 335
23 354
12 390
1 435
20 468
3 504
32 534
9 560
28 572
5 603
25 622
14 653
18 670
26 702
37 715
36 730
34 751
13 770
22 787
38 810
4 838
10 865
40 889
2 906
24 930
11 948
30 966
35 989
31 1006
33 1028
7 1051
8 1075
19 1099
6 1112
27 1138
16 1146
29 1161
15 1173
17 1183
# BEST TD SOLUTION: 1251
