# EXTRACTION TIME: 0.358
* 0.003 1278
* 0.005 1254
* 0.013 1243
* 0.019 1226
* 0.067 1224
* 0.077 1223
* 0.111 1220
* 0.122 1218
* 0.133 1214
* 0.178 1196
* 0.233 1194
* 0.26 1193
* 0.289 1183
* 0.309 1166
* 0.442 1164
* 0.5 1155
* 4.922 1152
* 5.517 1144
* 5.623 1140
* 7.089 1138
* 7.804 1133
* 8.474 1132
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1132
# NUMBER OF BRANCHES: 538334
# END TIME: 30.364
## Solution: 
40
0 0
21 217
39 265
27 280
16 290
19 311
7 331
33 359
31 386
35 407
40 433
2 454
30 478
11 500
24 522
20 552
1 578
12 611
25 640
5 656
28 674
3 691
32 708
9 723
37 738
26 751
18 765
14 780
38 799
36 830
34 851
13 870
22 885
4 901
10 924
8 955
6 972
23 1005
29 1026
15 1038
17 1048
# BEST TD SOLUTION: 1132
