# EXTRACTION TIME: 0.434
* 0.002 1497
* 0.005 1487
* 0.007 1483
* 0.018 1377
* 0.055 1376
* 0.24 1374
* 0.268 1373
* 0.284 1370
* 0.387 1367
* 0.487 1366
* 1.433 1365
* 1.451 1363
* 1.471 1361
* 1.475 1350
* 1.481 1348
* 1.534 1335
* 1.553 1331
* 1.835 1324
* 7.045 1314
* 7.089 1312
* 7.948 1311
* 8.203 1309
* 10.466 1308
* 10.582 1307
* 13.566 1306
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1306
# NUMBER OF BRANCHES: 525727
# END TIME: 30.441
## Solution: 
40
0 0
31 290
9 303
19 316
36 332
13 344
39 379
14 412
6 457
32 485
21 522
23 573
12 589
33 600
37 623
20 662
10 681
11 702
35 720
16 748
29 782
27 812
8 843
34 870
25 891
4 937
7 971
18 997
2 1015
24 1033
1 1054
38 1077
28 1104
22 1116
17 1137
3 1154
26 1170
5 1179
15 1190
40 1200
30 1216
# BEST TD SOLUTION: 1306
