# EXTRACTION TIME: 0.358
* 0.002 1218
* 0.031 1210
* 0.042 1205
* 0.048 1203
* 0.064 1183
* 0.076 1178
* 0.078 1176
* 0.179 1172
* 0.202 1152
* 0.259 1149
* 0.407 1147
* 0.525 1142
* 5.39 1134
* 5.575 1133
* 6.596 1130
* 6.598 1129
* 10.874 1128
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1128
# NUMBER OF BRANCHES: 511874
# END TIME: 30.364
## Solution: 
40
0 0
16 232
15 247
21 266
32 277
27 299
3 323
26 344
9 367
19 395
10 421
33 444
24 476
34 509
17 534
22 563
8 599
31 613
6 629
29 644
5 663
18 680
28 698
37 707
12 724
20 747
35 766
1 783
39 801
14 823
30 855
36 882
23 904
11 928
7 942
2 961
13 989
40 999
25 1007
38 1017
4 1037
# BEST TD SOLUTION: 1128
