# EXTRACTION TIME: 0.327
* 0.004 1538
* 0.007 1458
* 0.01 1457
* 0.029 1405
* 0.047 1384
* 0.056 1374
* 0.075 1368
* 0.189 1365
* 0.245 1360
* 0.269 1355
* 0.3 1354
* 0.317 1352
* 0.385 1350
* 0.398 1347
* 0.409 1346
* 1.426 1328
* 7.515 1327
* 7.546 1326
* 8.585 1325
* 15.978 1322
* 16.11 1318
* 16.2 1317
* 16.387 1315
* 16.527 1312
* 17.612 1306
* 17.708 1304
* 17.733 1302
* 17.784 1301
* 27.326 1300
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1300
# NUMBER OF BRANCHES: 480692
# END TIME: 30.336
## Solution: 
40
0 0
40 246
4 270
19 299
9 333
1 353
15 382
32 411
39 433
30 463
24 488
12 516
13 542
23 569
37 589
35 612
21 636
3 658
16 683
6 711
5 740
18 762
17 782
29 793
38 816
20 835
28 891
22 909
26 935
7 958
11 981
10 1013
14 1045
34 1076
2 1099
27 1142
8 1153
31 1177
25 1187
33 1209
36 1219
# BEST TD SOLUTION: 1300
