# EXTRACTION TIME: 0.541
* 0.003 1971
* 0.021 1870
* 0.028 1851
* 0.09 1846
* 0.107 1812
* 0.226 1808
* 0.385 1807
* 0.483 1804
* 0.521 1801
* 0.551 1798
* 0.591 1795
* 0.605 1793
* 0.646 1775
* 0.668 1763
* 0.728 1751
* 0.835 1747
* 0.875 1739
* 0.877 1738
* 0.881 1737
* 0.903 1734
* 1.065 1729
* 1.393 1727
* 1.7 1726
* 1.895 1725
* 2.219 1721
* 2.278 1716
* 2.415 1713
* 2.424 1704
* 2.438 1702
* 2.467 1689
* 2.481 1688
* 2.696 1683
* 4.453 1682
* 4.455 1678
* 4.658 1677
* 5.122 1675
* 5.443 1674
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1674
# NUMBER OF BRANCHES: 365706
# END TIME: 30.556
## Solution: 
40
0 0
13 207
28 296
24 317
25 334
22 351
36 386
39 423
32 441
35 477
19 505
26 571
31 634
6 665
14 691
9 713
23 782
37 849
18 891
10 926
21 950
27 1008
12 1032
4 1078
11 1110
29 1131
33 1152
16 1168
38 1213
40 1235
2 1265
34 1294
15 1306
8 1354
17 1378
3 1394
7 1416
1 1440
30 1487
20 1512
5 1536
# BEST TD SOLUTION: 1674
