# EXTRACTION TIME: 0.408
* 0.003 1727
* 0.016 1617
* 0.02 1581
* 0.17 1574
* 0.178 1571
* 0.19 1566
* 0.243 1556
* 0.247 1533
* 0.27 1517
* 0.277 1495
* 0.348 1486
* 0.359 1466
* 0.432 1465
* 0.459 1450
* 0.504 1449
* 6.323 1444
* 6.973 1421
* 7.475 1418
* 7.702 1411
* 7.753 1409
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1409
# NUMBER OF BRANCHES: 488514
# END TIME: 30.417
## Solution: 
40
0 0
23 212
28 336
18 346
7 361
14 400
20 436
27 469
5 499
22 526
29 552
9 574
19 614
13 641
31 678
26 708
35 729
17 746
40 768
37 792
12 810
4 828
15 859
8 876
3 900
25 910
16 920
34 941
11 959
36 967
2 998
39 1081
38 1116
30 1143
21 1165
32 1184
6 1216
33 1235
10 1281
24 1298
1 1316
# BEST TD SOLUTION: 1409
