# INSTANCE: InstancesTDTSP/inst_100_2_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 374352 46800
* 0.02 373437 45808
* 0.07 373324 46205
* 0.12 373137 50882
* 0.13 372608 47326
* 0.17 372421 49718
* 0.17 371832 50473
* 0.18 371767 45859
* 0.19 371441 47326
* 0.2 371355 46800
* 0.23 371273 45988
* 0.25 371267 49529
* 0.29 57677 50752
* 0.3 55130 50789
* 0.32 51223 52294
* 0.39 46940 50749
* 0.4 46555 50430
* 0.5 46350 49978
* 0.54 46198 49978
* 0.55 46177 49978
* 0.6 46157 49978
* 0.62 45809 50131
* 0.63 45743 50131
* 0.69 45430 49704
* 0.74 45408 50131
* 0.74 45301 49357
* 0.75 44932 49357
* 0.79 44825 49696
* 0.9 44679 49525
* 0.92 44566 49451
* 0.94 44441 49262
* 0.96 44438 49349
* 0.96 44065 48533
* 1.01 43824 48168
* 1.02 43778 48168
* 1.08 43765 48218
* 1.08 43723 48218
* 1.1 43698 48071
* 1.11 42849 46800
* 1.11 42824 46695
* 1.12 42778 46660
* 1.22 42627 46800
* 1.22 42588 46800
* 1.24 42429 46800
* 1.25 42414 46738
* 1.25 42346 46619
* 1.26 42311 46677
* 1.26 42259 46703
* 1.27 42130 46407
* 1.3 41743 46063
* 1.33 41705 46056
* 1.4 41701 46048
* 1.43 41197 45652
* 1.43 41150 45652
* 1.44 41149 45645
* 1.48 41057 45555
* 1.52 40941 45255
* 1.52 40835 44914
* 1.53 40442 43164
* 1.54 40436 43362
* 1.55 40414 43190
* 1.55 40395 43039
* 1.55 40316 42925
* 1.57 40284 42624
* 1.61 40052 42313
* 1.61 39522 41718
* 1.61 39420 41403
* 1.63 39326 41172
* 1.65 39298 41459
* 1.65 39218 41275
* 1.66 39099 41089
* 1.71 39061 40998
* 1.73 38990 40465
* 1.77 38802 40375
* 1.77 38787 39837
* 1.79 38719 39850
* 1.85 38650 39949
* 1.89 38535 39752
* 7.67 38338 39494
* 7.95 38319 39782
* 8.25 38309 39757
* 8.26 38308 39389
* 8.59 38267 39489
* 8.66 38187 39845
* 8.84 38175 39489
* 8.9 38109 39457
* 8.93 38095 39851
* 9.32 38082 39719
* 9.34 38022 39358
* 10.79 38017 39034
* 10.81 37996 38630
* 10.82 37927 38616
* 10.84 37913 38678
* 11.08 37909 38625
* 11.25 37888 38655
* 11.79 37855 38617
* 12.13 37849 38665
* 12.5 37840 38577
* 14.64 37699 38051
* 14.98 37601 38380
* 15.05 37568 38029
* 16.03 37566 38483
* 161.53 37409 38458
* 161.53 37399 38458
* 161.56 37180 38207
* 161.57 37133 38102
* 161.57 37034 38022
* 161.59 37029 38067
* 161.59 37028 38085
* 161.59 36992 37914
* 161.6 36987 37932
* 161.6 36964 37927
* 161.61 36931 37829
* 161.61 36899 37872
* 161.63 36891 37907
* 161.71 36888 37927
* 161.73 36886 37925
* 161.78 36863 37882
* 161.8 36861 37744
* 161.81 36836 37610
* 162.04 36827 37798
* 194.22 36806 37498
* 194.32 36788 37502
* 194.75 36768 37386
* 194.9 36735 37377
* 195.07 36717 37378
* 195.16 36672 37346
* 195.24 36640 37407
* 195.34 36629 37426
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 36629
# NUMBER OF BRANCHES: 206372704
# END TIME: 7200
## Solution with TDTSP times: 
100
80 0
79 305
75 660
77 859
208 1070
131 1349
210 1601
70 2032
204 2418
205 2736
69 3014
46 4351
38 4780
122 5008
47 5237
126 5439
65 5683
192 6349
145 6655
151 7440
160 7853
144 8160
37 8672
229 8892
43 9039
121 9451
40 9746
52 10185
61 10626
230 10719
123 11176
45 11468
124 11897
125 12247
232 12513
62 12851
55 13179
135 13458
48 13749
220 14346
215 14612
218 14939
238 15503
90 15687
105 16133
234 16520
104 17052
95 17355
103 17729
50 18146
35 18541
159 19196
156 19490
164 19867
162 20298
161 20594
154 20795
189 21041
155 21355
34 21727
85 22071
221 22480
240 22810
68 23114
209 23466
73 23590
76 23913
118 24352
26 24595
245 24817
233 25007
198 25448
249 25840
197 26455
117 26849
94 27248
116 28075
254 28227
27 28648
9 29379
110 29610
5 29894
112 30136
14 30562
12 30696
106 31056
1 31407
136 31785
137 32119
17 32780
247 33115
109 33351
111 33669
179 34268
183 34632
182 35205
11 35550
173 35802
195 36166
186 36627
# BEST TD SOLUTION: 37426
