# INSTANCE: InstancesTDTSP/inst_100_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 375846 80625
* 0.06 375672 80501
* 0.12 375359 80220
* 0.13 375006 79855
* 0.22 374969 79370
* 0.29 374766 79652
* 0.33 374574 80897
* 0.36 374560 82103
* 0.36 374454 82085
* 0.36 374378 82043
* 0.4 374254 83487
* 0.44 373901 83980
* 0.45 373781 85439
* 0.46 373690 83205
* 0.47 373479 80064
* 0.48 373429 80028
* 0.49 373299 79936
* 0.53 373183 81692
* 0.53 373140 80878
* 0.55 372703 83395
* 0.56 372554 83680
* 0.57 372449 83560
* 0.57 372229 83363
* 0.6 372117 83558
* 0.6 371749 84350
* 0.61 371742 82983
* 0.63 371509 82747
* 0.64 371483 82597
* 0.65 371001 80212
* 0.84 67908 84338
* 0.85 57941 82088
* 0.88 56853 83157
* 0.94 46118 82990
* 0.95 45510 82465
* 1 45403 82465
* 1.02 45063 82131
* 1.04 44663 81776
* 1.08 44269 81424
* 1.16 44214 81324
* 1.16 44180 81243
* 1.29 43961 78831
* 1.31 43946 78995
* 1.34 43798 78811
* 1.41 43710 78646
* 8.94 43597 80270
* 8.97 43501 80309
* 8.97 43341 80155
* 8.99 43217 80130
* 9.01 43002 79280
* 9.02 42869 79201
* 9.04 42809 79280
* 9.08 42602 79052
* 9.14 42518 79281
* 9.22 42476 78822
* 9.24 42413 78822
* 9.25 42374 78993
* 9.26 41907 78205
* 9.28 41905 78361
* 9.29 41880 78675
* 9.31 41869 78675
* 9.32 41861 78675
* 9.33 41811 78675
* 9.51 41767 78298
* 9.69 41765 78298
* 10.63 41734 78298
* 10.67 41685 78298
* 10.75 41641 77988
* 10.78 41637 77988
* 11.29 41635 77988
* 11.3 41329 77988
* 11.59 41303 77696
* 12.08 41170 77767
* 12.12 41157 77767
* 13.1 41115 77767
* 13.23 41067 77560
* 13.26 40967 77560
* 13.64 40734 77332
* 13.64 40699 77334
* 13.94 40650 77570
* 13.94 40636 77208
* 13.95 40632 77208
* 14.05 40074 77208
* 14.06 40024 77208
* 14.07 39975 77208
* 14.43 39961 77208
* 14.81 39955 77208
* 14.81 39921 77207
* 14.82 39892 77207
* 14.82 39326 76376
* 14.84 39220 76376
* 14.84 39212 76376
* 14.84 39137 75765
* 15.08 39132 75765
* 15.4 39091 75765
* 15.74 39087 75765
* 15.79 39044 75765
* 15.87 39037 75765
* 15.89 38945 75765
* 16.37 38918 75765
* 16.94 38830 75179
* 17.4 38799 75179
* 17.89 38779 75179
* 18.51 38770 75179
* 18.51 38758 75179
* 18.52 38746 75179
* 18.57 38701 75179
* 18.67 38552 75179
* 18.71 38539 75179
* 18.73 38417 75179
* 18.76 38386 75179
* 18.85 38339 75179
* 20.72 38318 75179
* 21.46 38308 75179
* 21.53 38234 75179
* 21.66 38142 75179
* 22.09 38106 75179
* 22.4 38090 74836
* 24.67 38065 74836
* 28.75 38047 74836
* 30.37 38013 74836
* 30.38 37968 74836
* 30.57 37953 74836
* 30.57 37908 74836
* 33.13 37903 74836
* 37.25 37813 74324
* 37.48 37783 74324
* 37.48 37746 74324
* 41.32 37539 74324
* 41.53 37520 74324
* 41.53 37495 74324
* 41.64 37468 74324
* 41.88 37440 74324
* 42.88 37427 74324
* 45.35 37399 74324
* 45.45 37393 74324
* 45.64 37347 74324
* 45.73 37333 74324
* 45.89 37331 74324
* 46.55 37327 74324
* 69.78 37319 74324
* 69.98 37281 74324
* 70.02 37253 74324
* 70.29 37239 74324
* 76.67 37235 74324
* 76.89 37146 74324
* 76.98 37136 74324
* 2617.81 37102 74324
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 37102
# NUMBER OF BRANCHES: 136436506
# END TIME: 7200
## Solution with TDTSP times: 
100
96 0
98 552
100 916
103 1339
227 1797
41 2184
133 3086
134 4008
105 4238
23 5290
60 5832
33 6641
248 40507
58 41263
231 41493
39 41833
42 42236
44 42556
126 42904
121 43237
46 43513
37 43709
43 45608
122 45749
47 45958
32 46247
166 46535
149 46800
158 47075
189 47381
155 47617
53 47998
63 48223
31 48598
86 48720
34 49072
27 49518
215 49906
245 50251
25 50517
201 50939
246 51193
237 51368
21 51489
203 52021
76 52215
211 52426
205 52696
82 52994
69 53275
221 53584
130 54019
81 54374
74 54762
77 54978
183 55464
225 55824
18 56227
177 56575
239 57024
12 57259
108 57391
8 57704
9 57958
10 58186
16 58501
2 58755
111 59248
15 59443
106 59785
138 60340
222 61172
241 61646
209 61947
202 62093
235 62584
78 62881
179 63680
193 64110
180 64478
178 64689
176 64843
186 65157
212 65364
153 65802
146 66070
144 66535
164 66874
159 67313
59 67805
62 68197
55 68357
135 68505
92 68891
238 69384
198 70192
196 72122
102 72871
94 73216
101 73964
# BEST TD SOLUTION: 74324
