# INSTANCE: InstancesTDTSP/inst_50_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 24.83
* 0.01 54331
* 0.05 33251
* 0.06 33162
* 0.07 32962
* 0.08 32911
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 32911
# NUMBER OF BRANCHES: 2090
# END TIME: 24.91
## Solution: 
50
193 0
71 657
81 842
79 973
157 1313
166 1521
191 1780
3 3096
2 3578
9 4341
226 5774
76 6662
72 7191
116 8027
30 8466
144 9598
161 10025
235 11140
211 11520
78 11904
222 12558
223 13418
68 14684
27 15370
218 15875
43 16525
52 16843
44 17148
254 17494
87 18188
104 18718
89 19069
96 19752
61 20969
230 21030
247 22434
118 23803
243 24296
219 24891
124 25265
36 25653
99 26188
119 26896
102 27659
93 27839
97 28306
228 29047
103 29641
134 30309
35 31291
# BEST TD SOLUTION: 32911
