# INSTANCE: InstancesTDTSP/inst_50_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 25.05
* 0.02 24256
* 0.07 23852
* 15.4 23781
* 15.48 23766
* 34.57 23756
* 72.98 23701
* 116.03 23662
* 145.7 23620
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 23620
# NUMBER OF BRANCHES: 54196962
# END TIME: 7225.05
## Solution: 
50
140 0
127 472
61 853
32 1354
187 1743
145 2115
153 2424
146 2802
188 3263
152 3694
43 4337
47 4817
126 5193
53 5627
75 5959
80 6162
81 6458
85 6842
71 7214
83 7656
76 8335
211 8536
73 8905
204 9125
132 9646
68 10147
240 10780
224 11741
8 12478
10 12947
112 13203
13 13558
106 14011
17 14540
111 15046
247 15450
182 16418
178 16607
143 17368
129 18442
118 19023
119 19427
251 19628
215 19896
249 20570
20 21139
89 21887
234 22475
219 23002
49 23312
# BEST TD SOLUTION: 23620
