# INSTANCE: InstancesTDTSP/inst_50_17_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 30.31
* 0.02 25965
* 0.08 25647
* 0.24 25388
* 1.1 24691
* 1.2 24674
* 1.21 24662
* 1.23 24547
* 1.27 24535
* 1.28 24420
* 1.43 24358
* 1.46 24323
* 1.52 24292
* 1.63 24244
* 2.78 24149
* 2.81 24111
* 2.88 24106
* 18.75 23869
* 18.91 23868
* 678.74 23854
* 678.75 23746
* 678.87 23745
* 679 23692
* 693.42 23683
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 23683
# NUMBER OF BRANCHES: 54462913
# END TIME: 7230.31
## Solution: 
50
44 0
254 303
30 572
251 866
252 1133
253 1595
90 2023
135 2476
123 3133
61 3590
230 3817
243 3964
242 4279
163 5117
164 5550
165 5770
146 6403
192 6842
155 7394
131 8073
72 8614
73 9001
70 9456
74 9953
214 10093
77 10366
225 10966
18 11335
223 12374
8 13200
14 13733
2 13831
1 14059
17 14476
0 14772
178 15813
173 16036
195 16414
212 16736
21 17535
200 18041
24 18481
159 19246
248 19741
36 20097
59 20521
99 20994
100 21563
103 21902
94 22821
# BEST TD SOLUTION: 23683
