# INSTANCE: InstancesTDTSP/inst_100_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.02 48732 -1
* 0.02 48639 -1
* 0.1 48629 -1
* 0.12 48582 -1
* 0.13 48546 -1
* 0.14 48402 -1
* 0.14 48379 -1
* 0.15 48126 -1
* 0.15 47999 -1
* 0.16 47899 -1
* 0.17 47895 -1
* 0.19 47860 -1
* 0.2 47828 -1
* 0.22 46193 -1
* 0.22 46063 -1
* 0.23 45457 -1
* 0.23 45370 -1
* 0.24 45070 -1
* 0.27 44924 -1
* 0.3 44865 -1
* 0.34 44851 -1
* 0.34 44724 -1
* 0.34 44709 -1
* 0.35 44538 -1
* 0.35 44449 -1
* 0.38 44391 -1
* 0.39 44374 -1
* 0.39 44360 -1
* 0.39 44328 -1
* 0.43 44056 -1
* 0.46 44053 -1
* 0.46 44048 -1
* 0.49 44027 -1
* 0.5 43823 -1
* 0.52 43820 -1
* 0.55 43809 -1
* 0.61 43726 -1
* 0.65 43679 -1
* 0.68 43671 -1
* 0.69 43610 -1
* 0.69 43493 -1
* 0.71 43490 -1
* 0.73 43434 -1
* 0.77 43421 -1
* 0.78 42877 -1
* 0.78 42746 -1
* 0.79 42743 -1
* 0.82 42719 -1
* 0.92 42696 -1
* 0.92 42581 -1
* 0.93 42567 -1
* 1.02 42554 -1
* 1.06 42464 -1
* 1.93 42447 -1
* 1.93 42031 -1
* 1.95 42014 -1
* 1.95 41974 -1
* 1.96 41933 -1
* 2.02 41904 -1
* 2.04 41869 -1
* 2.08 41833 -1
* 2.09 41752 -1
* 2.11 41678 -1
* 2.11 41639 -1
* 2.24 41576 -1
* 2.26 41556 -1
* 2.32 41521 -1
* 2.33 41519 -1
* 2.36 41446 -1
* 2.6 41368 -1
* 2.81 41295 -1
* 2.81 41281 -1
* 2.83 41264 -1
* 2.9 41247 -1
* 3.04 41202 -1
* 3.08 41193 -1
* 3.17 41157 -1
* 3.18 41155 -1
* 3.3 41124 -1
* 3.57 41101 -1
* 3.78 41099 -1
* 4.06 40867 -1
* 4.25 40762 -1
* 4.25 40729 -1
* 4.51 40696 -1
* 4.68 40668 -1
* 4.73 40662 -1
* 4.87 40659 -1
* 13.48 40616 -1
* 13.49 40611 -1
* 13.58 40584 -1
* 13.82 40551 -1
* 13.96 40539 -1
* 14.07 40529 -1
* 66.81 40524 -1
* 66.95 40515 -1
* 67.03 40498 -1
* 67.04 40486 -1
* 67.24 40439 -1
* 67.25 40436 -1
* 81.69 40419 -1
* 122.79 40411 -1
* 123.15 40401 -1
* 123.72 40388 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40388
# NUMBER OF BRANCHES: 149619818
# END TIME: 7200.01
## No TDTSP solution found.
