# INSTANCE: InstancesTDTSP/NewTWinstances/inst_10_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 10
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.189 8837
* 0.431 8561
* 0.759 8137
* 0.777 7331
* 0.787 7322
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 7322
# NUMBER OF BRANCHES: 56815
# END TIME: 6.821
## Solution: 
10
55 0
57 326
216 940
107 2020
73 3162
204 3469
79 4146
74 4447
77 4683
147 5532
# BEST TD SOLUTION: 7322
