# INSTANCE: InstancesTDTSP/inst_20_11.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 2.75 14162
* 4.91 13929
* 5.21 13910
* 5.35 13895
* 5.62 13883
* 233.2 13826
* 2287.64 13737
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 13737
# NUMBER OF BRANCHES: 6110631
# END TIME: 3600.01
## Solution: 
20
215 0
233 332
120 695
44 941
38 1356
43 1561
75 2060
129 2861
74 3299
81 3572
241 4401
68 4897
250 6116
137 7110
177 8234
11 9380
153 10298
101 11819
88 12214
48 12895
# BEST TD SOLUTION: 13737
