# INSTANCE: InstancesTDTSP/inst_20_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 1.57
* 0 17404
* 0 15000
* 0 14715
* 0.01 13820
* 0.08 13786
* 0.44 13628
* 0.45 13616
* 0.45 13599
* 0.46 13563
* 0.47 13560
* 20.79 13543
* 20.84 13541
* 21.6 13443
* 21.61 13337
* 21.98 13329
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 13329
# NUMBER OF BRANCHES: 2218821
# END TIME: 184.39
## Solution: 
20
147 0
212 397
153 919
142 1389
37 1873
23 2366
39 2909
231 3238
242 3582
140 4184
43 4636
54 5230
128 5929
210 6252
67 6864
178 7607
1 8929
223 10576
201 12008
30 12707
# BEST TD SOLUTION: 13329
