# INSTANCE: InstancesTDTSP/inst_20_3.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 1.63
* 0 18435
* 0 14073
* 0.07 14027
* 0.07 13967
* 0.51 13841
* 11.69 13794
* 11.69 13781
* 11.7 13768
* 12.07 13714
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 13714
# NUMBER OF BRANCHES: 2340940
# END TIME: 217.29
## Solution: 
20
199 0
48 804
242 1310
147 1788
40 2247
216 2759
200 3298
26 3517
245 4090
29 4521
249 5427
237 6344
204 7379
168 8034
71 8417
177 9581
114 10172
17 10887
15 11371
139 12162
# BEST TD SOLUTION: 13714
