# INSTANCE: InstancesTDTSP/inst_20_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 1.34
* 0 19846
* 0.01 15444
* 0.07 15358
* 0.42 15051
* 0.44 14870
* 0.44 14247
* 0.47 14203
* 0.88 14164
* 0.99 14143
* 0.99 14113
* 0.99 14083
* 1 14068
* 6.77 14033
* 6.89 14017
* 7.02 14002
* 9.88 13984
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 13984
# NUMBER OF BRANCHES: 223036
# END TIME: 19.72
## Solution: 
20
199 0
48 941
242 1523
147 2093
40 2557
200 3296
26 3513
29 4201
249 4981
237 5750
204 6673
71 7300
168 7629
177 8706
15 9242
17 9698
114 10365
139 11143
245 12300
216 12701
# BEST TD SOLUTION: 13984
