# INSTANCE: InstancesTDTSP/inst_30_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 4.46
* 0.01 19720
* 0.03 19704
* 0.26 19651
* 178.26 19343
* 185.95 19322
* 360.46 19119
* 1567.48 19106
* 1599.18 18982
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 18982
# NUMBER OF BRANCHES: 10434136
# END TIME: 1793.38
## Solution: 
30
62 0
96 1078
90 2070
48 2559
60 2922
142 3770
160 4073
46 4928
32 5392
166 5559
157 6070
80 6432
70 6908
206 7443
240 8025
5 9070
239 9718
109 10599
174 11815
145 12308
130 12791
207 13650
249 14507
198 15039
196 15279
197 15848
25 16644
220 17101
120 17478
228 18436
# BEST TD SOLUTION: 18982
