# INSTANCE: InstancesTDTSP/inst_30_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 5.27
* 0.01 17710
* 0.01 17568
* 0.03 17480
* 0.33 17477
* 0.33 17339
* 0.35 16685
* 0.37 16472
* 0.39 16107
* 0.39 16098
* 0.61 16078
* 0.62 16065
* 0.63 15954
* 0.64 15864
* 0.64 15597
* 0.64 15570
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 15570
# NUMBER OF BRANCHES: 1088735
# END TIME: 208.66
## Solution: 
30
104 0
134 456
97 689
103 1497
55 2146
58 2685
243 2960
140 3215
167 3684
156 4272
142 4605
122 5450
47 5829
54 6310
116 6867
72 7745
85 8137
213 8472
71 8689
170 9157
18 10028
3 10489
13 10751
9 11234
115 11522
2 11988
6 12302
107 12624
139 13356
245 14515
# BEST TD SOLUTION: 15570
