# INSTANCE: InstancesTDTSP/inst_30_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
# EXTRACTION TIME: 5.29
* 0.01 17153
* 0.01 17066
* 0.03 16988
* 0.32 16861
* 0.32 16781
* 0.33 16593
* 0.33 16352
* 0.36 16162
* 3.11 16109
* 3.13 15640
* 3.14 15619
* 12.03 15590
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 15590
# NUMBER OF BRANCHES: 1764576
# END TIME: 334.18
## Solution: 
30
104 0
134 436
97 651
103 1404
55 2017
58 2540
243 2829
140 3100
167 3595
156 4218
142 4579
122 5480
47 5866
54 6343
116 6949
72 7875
85 8287
213 8639
71 8859
170 9341
18 10266
3 10721
13 10993
2 11335
6 11692
107 12026
9 12416
115 12705
139 13551
245 14611
# BEST TD SOLUTION: 15590
