# INSTANCE: InstancesTDTSP/inst_30_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 24833 -1
* 0.01 22739 -1
* 1.97 22436 -1
* 1.98 22285 -1
* 2.06 22248 -1
* 2.08 22152 -1
* 2.08 22052 -1
* 2.17 22007 -1
* 2.37 21873 -1
* 2.44 21867 -1
* 2.44 21736 -1
* 2.46 21681 -1
* 2.47 21603 -1
* 12.44 21515 -1
* 39.34 21514 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 21514
# NUMBER OF BRANCHES: 2316009
# END TIME: 56.04
## No TDTSP solution found.
