# INSTANCE: InstancesTDTSP/inst_30_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 8.98 27040
* 15.48 25040
* 25.91 24813
* 65.36 24795
* 73.07 24336
* 73.77 24229
* 82.8 23839
* 83.17 23107
* 84.26 22829
* 86.48 22706
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 22706
# NUMBER OF BRANCHES: 5192290
# END TIME: 3600.03
## Solution: 
30
229 0
127 235
140 499
163 974
56 1653
52 2099
31 2723
79 3509
71 3921
128 4663
156 5970
76 7459
211 7632
205 7927
207 8633
82 9658
173 10422
195 10766
182 11002
239 11989
17 12618
227 14416
246 16193
249 16816
112 18087
6 18464
115 18982
2 19495
96 21139
135 22098
# BEST TD SOLUTION: 22706
