# INSTANCE: InstancesTDTSP/inst_30_6.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 9.07 17809
* 3000.22 17710
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 17710
# NUMBER OF BRANCHES: 2937904
# END TIME: 3600.04
## Solution: 
30
230 0
43 355
37 661
42 1016
58 1406
60 1781
124 2069
64 2812
159 3702
160 4559
147 5079
145 5523
170 6154
131 6652
81 7123
53 7879
206 8519
82 8865
132 9395
244 10067
26 10736
249 11537
240 12471
108 13147
6 13487
11 14396
195 14650
143 15150
199 16551
103 16883
# BEST TD SOLUTION: 17710
