# INSTANCE: InstancesTDTSP/inst_30_9.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: CPP_NEXT
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 12.42 16662
* 22.77 16659
* 25.57 16646
* 34.12 16584
* 36.11 16557
* 38.97 16514
* 42.15 16477
* 53 16417
* 116.85 16315
* 161.58 16204
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 16204
# NUMBER OF BRANCHES: 2534507
# END TIME: 3600.04
## Solution: 
30
30 0
217 373
86 536
157 787
149 1042
32 1369
39 1893
242 2208
56 2837
33 3569
35 4284
89 5980
253 7283
206 8316
204 8584
85 8939
210 9202
213 9550
71 9739
221 10358
225 10918
169 11611
113 12432
247 13152
111 13468
15 13755
108 14172
250 14554
68 15151
201 15757
# BEST TD SOLUTION: 16204
