# INSTANCE: InstancesTDTSP/inst_50_18_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 23.23
* 0.01 25001
* 0.02 24788
* 0.05 24067
* 0.07 24026
* 0.51 23939
* 0.52 23784
* 0.53 23773
* 0.62 23753
* 0.65 23652
* 0.7 23636
* 0.75 23632
* 1.73 23620
* 1.74 23549
* 12.21 23520
* 12.23 23410
* 14.92 23404
* 15.33 23400
* 15.58 23311
* 15.99 23306
* 16.01 23067
* 18.96 22998
* 19 22943
* 54.26 22885
* 54.27 22873
* 56.37 22862
* 56.76 22762
* 58.87 22760
* 59.23 22725
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 22725
# NUMBER OF BRANCHES: 13842375
# END TIME: 7223.23
## Solution: 
50
131 0
75 232
74 452
183 894
69 1357
70 1528
204 1770
73 1983
211 2210
205 2624
68 3186
34 4422
63 4707
53 5095
157 5311
155 5672
189 6021
154 6321
145 6773
161 7186
162 7672
151 7990
49 8372
231 8611
56 9122
248 9580
90 10466
87 11015
134 11399
91 12086
104 12545
95 12954
227 13501
51 13883
135 14595
23 15128
216 15781
218 16026
253 16321
120 16655
217 17036
28 17222
26 17688
25 18060
236 18299
244 18600
4 19763
0 20440
18 21396
194 21739
# BEST TD SOLUTION: 22725
