# INSTANCE: InstancesTDTSP/inst_50_1.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TDNOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
# EXTRACTION TIME: 24.28
* 0.01 26267
* 0.05 25822
* 0.07 25524
* 0.26 25342
* 1.52 25283
* 1.55 25191
* 1.58 25152
* 1.59 25098
* 2.6 24825
* 2.7 24805
* 2.79 24788
* 3.03 24727
* 3.13 24639
* 8.85 24636
* 9.05 24622
* 9.2 24546
* 9.22 24506
* 11.36 24378
* 11.38 24175
* 12.92 23802
* 12.94 23787
* 17.47 23707
* 17.51 23622
* 17.77 23483
* 20.74 23295
* 21.32 23279
* 22.28 23131
* 22.35 23112
* 23.37 23035
* 23.47 23014
* 1222.74 22983
* 1222.79 22967
* 1223.25 22960
* 1246.63 22945
* 1246.66 22921
* 1465.3 22878
* 1466.41 22867
* 1470.28 22852
* 1476.04 22846
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 22846
# NUMBER OF BRANCHES: 40656926
# END TIME: 7224.28
## Solution: 
50
231 0
58 327
123 639
19 831
124 1130
36 1532
64 1755
227 2330
62 3144
99 3785
105 4547
119 5588
215 6096
26 6625
233 7090
237 7374
22 7865
27 8327
52 9086
140 9470
167 9921
151 10336
163 10653
141 11060
165 11362
185 12414
169 12874
178 13171
181 13593
212 14036
208 14298
213 14576
183 14883
113 15649
10 16090
16 16432
4 16956
1 17216
136 17818
132 18824
203 19276
73 19713
204 19998
210 20440
75 20689
214 20965
158 21293
126 21820
46 22129
43 22536
# BEST TD SOLUTION: 22846
